id_student,url,homepage,subpage,resource,oucontent,oucollaborate,glossary,foruming,dataplus,he_level,gender,final_results
188278,25,203,77,4,3,3,0,128,0,A Level or Equivalent,M,Withdrawn
189879,13,63,29,1,1,1,0,60,0,A Level or Equivalent,M,Pass
192183,32,101,50,0,0,0,0,31,0,Lower Than A Level,F,Pass
195262,0,23,6,2,0,0,0,19,0,A Level or Equivalent,M,Withdrawn
200860,0,63,31,3,0,0,0,27,0,Lower Than A Level,M,Pass
202635,1,101,11,4,2,2,0,130,0,A Level or Equivalent,F,Withdrawn
205350,16,66,32,0,3,3,0,51,0,HE Qualification,M,Pass
205719,6,32,15,1,0,0,0,7,0,A Level or Equivalent,M,Fail
227499,20,59,20,1,0,0,0,110,0,A Level or Equivalent,F,Distinction
227517,4,53,20,0,1,1,0,63,0,HE Qualification,M,Fail
228082,0,11,11,0,0,0,0,11,0,HE Qualification,M,Pass
228222,2,19,10,2,0,0,0,9,0,Lower Than A Level,M,Pass
229179,2,31,21,2,0,0,0,7,0,A Level or Equivalent,M,Pass
229361,6,24,13,0,0,0,0,2,0,A Level or Equivalent,M,Pass
231554,2,40,17,1,0,0,0,39,1,A Level or Equivalent,M,Pass
235507,2,11,9,1,0,0,0,2,0,A Level or Equivalent,M,Withdrawn
236284,3,15,14,3,0,0,0,3,0,Post Graduate Qualification,M,Pass
238007,9,47,19,1,0,0,0,27,0,HE Qualification,M,Pass
240712,0,9,6,0,0,0,0,3,0,HE Qualification,M,Pass
240884,4,25,33,2,0,0,0,9,0,A Level or Equivalent,M,Pass
241649,18,54,26,1,0,0,0,8,0,HE Qualification,M,Pass
241729,7,34,18,0,0,0,0,8,0,HE Qualification,F,Fail
242793,0,17,8,2,0,0,0,0,0,HE Qualification,M,Pass
246834,5,40,26,0,0,0,0,35,0,A Level or Equivalent,M,Pass
248270,15,124,24,3,3,3,0,32,0,Lower Than A Level,M,Pass
255548,24,104,39,1,0,0,0,137,0,Lower Than A Level,M,Pass
256815,0,5,0,0,0,0,0,1,0,HE Qualification,M,Pass
258392,10,26,23,3,1,1,0,21,0,Lower Than A Level,F,Pass
258894,0,105,27,0,0,0,0,78,0,Lower Than A Level,F,Pass
260355,1,11,4,1,0,0,0,6,0,A Level or Equivalent,F,Withdrawn
262011,16,48,47,4,1,1,2,37,0,A Level or Equivalent,M,Pass
262934,10,119,48,4,0,0,0,63,0,A Level or Equivalent,F,Pass
268073,13,112,31,4,0,0,0,133,0,A Level or Equivalent,M,Fail
268733,0,4,2,0,0,0,0,1,0,A Level or Equivalent,M,Withdrawn
271251,61,129,98,0,0,0,0,26,0,A Level or Equivalent,M,Pass
277880,0,133,64,3,1,1,0,138,0,A Level or Equivalent,F,Withdrawn
279572,1,33,29,2,0,0,0,15,0,Lower Than A Level,M,Distinction
281022,1,20,11,0,0,0,0,1,0,A Level or Equivalent,F,Pass
281250,0,9,5,0,0,0,0,4,0,Lower Than A Level,M,Fail
281589,0,5,0,0,0,0,0,6,0,HE Qualification,M,Fail
282821,11,83,46,0,0,0,0,44,0,A Level or Equivalent,M,Pass
286488,4,13,16,1,0,0,0,4,0,A Level or Equivalent,M,Pass
287548,2,21,6,1,1,1,0,3,0,A Level or Equivalent,M,Pass
290201,21,85,52,2,1,1,0,22,0,A Level or Equivalent,M,Pass
290757,2,18,13,0,0,0,0,22,0,A Level or Equivalent,M,Pass
291334,15,126,39,2,0,0,1,181,3,A Level or Equivalent,M,Distinction
293699,0,1,0,0,0,0,0,0,0,A Level or Equivalent,M,Pass
294570,2,64,18,0,1,1,0,14,0,HE Qualification,M,Pass
294594,4,36,13,1,0,0,0,1,0,A Level or Equivalent,M,Pass
295741,3,54,26,8,0,0,0,20,0,A Level or Equivalent,M,Fail
296332,3,48,6,0,3,3,0,40,0,Post Graduate Qualification,M,Distinction
298696,8,31,20,0,0,0,0,1,0,HE Qualification,F,Pass
300398,8,63,44,0,0,0,0,40,0,A Level or Equivalent,M,Pass
302302,0,22,14,0,0,0,0,12,0,A Level or Equivalent,F,Fail
305152,0,22,7,1,0,0,0,25,0,A Level or Equivalent,M,Fail
305386,2,75,11,0,0,0,0,1,1,A Level or Equivalent,M,Pass
306107,0,39,14,3,0,0,0,6,0,A Level or Equivalent,M,Pass
306466,0,26,5,1,1,1,1,38,0,A Level or Equivalent,M,Pass
306897,2,149,18,0,0,0,0,182,0,A Level or Equivalent,F,Pass
307061,16,32,17,1,0,0,0,24,0,HE Qualification,F,Pass
307866,8,60,37,0,1,1,0,37,0,A Level or Equivalent,M,Pass
311917,18,63,35,4,0,0,0,14,3,A Level or Equivalent,M,Pass
312537,22,752,50,6,3,3,0,574,0,Post Graduate Qualification,M,Distinction
312782,0,18,2,0,0,0,0,11,0,A Level or Equivalent,M,Pass
318933,5,55,20,4,0,0,0,21,0,HE Qualification,F,Pass
319047,12,65,21,3,1,1,0,162,0,A Level or Equivalent,F,Pass
321942,29,200,39,0,2,2,0,509,0,HE Qualification,M,Pass
324002,19,71,48,3,0,0,0,43,0,HE Qualification,M,Pass
324084,0,61,3,0,0,0,0,38,0,A Level or Equivalent,F,Pass
324282,0,6,2,0,0,0,0,9,0,A Level or Equivalent,M,Pass
331358,3,119,16,4,2,2,0,219,0,HE Qualification,F,Withdrawn
332789,0,18,0,2,2,2,0,20,0,A Level or Equivalent,F,Pass
333059,0,8,6,0,0,0,0,1,0,A Level or Equivalent,M,Pass
333323,1,24,10,2,0,0,0,6,0,HE Qualification,M,Pass
334259,1,30,18,2,0,0,0,22,0,A Level or Equivalent,F,Fail
334333,1,30,4,0,0,0,0,19,0,A Level or Equivalent,F,Withdrawn
335764,12,151,19,1,0,0,0,181,0,A Level or Equivalent,F,Withdrawn
336207,2,65,33,0,0,0,0,60,0,A Level or Equivalent,M,Pass
339972,5,23,18,2,0,0,0,1,0,A Level or Equivalent,M,Pass
342007,22,111,50,9,0,0,0,33,0,HE Qualification,F,Withdrawn
342514,8,37,18,0,0,0,0,16,0,Lower Than A Level,M,Pass
342972,6,35,9,0,1,1,0,18,0,HE Qualification,M,Pass
343446,0,108,27,5,0,0,0,111,0,HE Qualification,M,Pass
344282,0,7,8,0,0,0,0,0,0,A Level or Equivalent,M,Fail
345068,1,11,9,2,0,0,0,4,0,A Level or Equivalent,M,Pass
345357,13,44,20,0,0,0,0,6,0,A Level or Equivalent,M,Distinction
346025,0,28,19,2,0,0,0,12,0,A Level or Equivalent,M,Pass
346843,0,3,0,0,0,0,0,2,0,HE Qualification,F,Fail
350188,0,35,22,3,0,0,0,17,0,HE Qualification,M,Pass
354858,0,9,2,0,0,0,0,2,0,HE Qualification,M,Withdrawn
357668,0,14,5,0,0,0,0,1,0,A Level or Equivalent,M,Fail
364177,11,38,12,0,0,0,0,0,0,Lower Than A Level,M,Fail
365244,9,25,17,0,0,0,0,45,0,A Level or Equivalent,F,Pass
365642,7,121,21,2,0,0,0,36,0,Lower Than A Level,M,Pass
366483,11,54,23,0,0,0,0,0,0,HE Qualification,M,Pass
368194,0,11,5,3,0,0,0,2,0,A Level or Equivalent,F,Pass
368824,3,4,5,0,0,0,0,1,0,HE Qualification,M,Fail
368963,5,38,33,2,0,0,0,13,0,Lower Than A Level,M,Pass
376439,5,112,17,0,0,0,0,134,0,HE Qualification,M,Distinction
376581,20,82,36,0,0,0,0,29,0,A Level or Equivalent,F,Pass
380953,2,40,13,0,1,1,0,1,0,A Level or Equivalent,M,Pass
383254,2,18,14,2,0,0,0,3,0,A Level or Equivalent,M,Pass
386924,0,11,4,0,0,0,0,1,0,Lower Than A Level,M,Pass
386952,2,46,14,0,0,0,0,8,0,A Level or Equivalent,M,Pass
388722,1,29,7,0,0,0,0,61,0,Lower Than A Level,F,Pass
388885,2,24,8,3,0,0,0,25,0,A Level or Equivalent,M,Pass
390890,8,60,26,4,0,0,0,28,0,A Level or Equivalent,M,Withdrawn
392756,1,42,6,3,0,0,0,12,0,A Level or Equivalent,M,Fail
392931,2,42,18,1,0,0,0,30,0,A Level or Equivalent,F,Pass
393207,2,31,40,0,2,2,0,12,0,A Level or Equivalent,M,Pass
396872,2,28,15,2,0,0,0,1,0,HE Qualification,M,Pass
398552,0,73,40,9,0,0,0,13,0,Lower Than A Level,M,Fail
401869,22,71,46,4,0,0,0,21,0,Lower Than A Level,F,Pass
402470,8,78,17,0,0,0,0,17,0,Lower Than A Level,M,Pass
404804,1,22,28,0,0,0,0,4,0,Lower Than A Level,M,Pass
405088,8,45,11,0,0,0,0,46,0,A Level or Equivalent,M,Pass
414117,0,21,10,0,0,0,0,7,0,A Level or Equivalent,M,Pass
415969,18,111,54,8,4,4,0,114,0,HE Qualification,M,Withdrawn
420087,1,10,16,0,1,1,0,4,0,A Level or Equivalent,M,Fail
429958,0,14,7,1,0,0,0,7,0,A Level or Equivalent,F,Pass
441018,0,19,4,0,0,0,0,36,0,A Level or Equivalent,F,Pass
441888,0,34,16,3,0,0,0,18,0,A Level or Equivalent,M,Pass
442442,11,63,32,1,0,0,0,66,0,HE Qualification,M,Withdrawn
444677,6,34,18,0,0,0,0,5,0,HE Qualification,M,Distinction
470588,5,33,15,0,0,0,0,5,0,HE Qualification,M,Withdrawn
489455,10,54,29,3,0,0,0,36,0,A Level or Equivalent,F,Pass
494424,0,8,6,0,0,0,0,4,0,A Level or Equivalent,F,Fail
495284,1,59,9,2,0,0,0,23,0,HE Qualification,M,Pass
498857,2,63,20,2,1,1,0,3,0,HE Qualification,M,Pass
508818,0,76,26,2,0,0,0,118,0,A Level or Equivalent,M,Pass
512460,0,10,9,2,0,0,0,0,0,HE Qualification,M,Pass
544103,37,143,79,0,4,4,0,85,0,HE Qualification,M,Pass
550383,1,46,20,0,1,1,0,23,0,HE Qualification,M,Pass
564450,1,4,8,0,0,0,0,0,0,HE Qualification,M,Fail
568601,3,11,12,2,0,0,0,1,0,HE Qualification,F,Withdrawn
572652,0,30,8,5,0,0,0,3,0,HE Qualification,M,Pass
580389,0,182,18,2,0,0,0,54,0,HE Qualification,M,Pass
581129,0,15,9,0,0,0,0,2,0,A Level or Equivalent,M,Fail
588775,4,113,39,2,1,1,2,161,0,A Level or Equivalent,M,Pass
591774,1,23,8,1,0,0,0,19,0,Post Graduate Qualification,M,Pass
603861,1,33,11,1,0,0,0,3,0,HE Qualification,M,Withdrawn
606143,0,25,15,0,0,0,0,16,0,Post Graduate Qualification,M,Fail
704156,17,82,36,4,0,0,0,45,0,HE Qualification,M,Pass
705379,13,95,43,5,0,0,0,24,0,A Level or Equivalent,M,Distinction
721259,16,59,30,2,3,3,3,233,0,Lower Than A Level,F,Withdrawn
749412,12,186,47,0,0,0,0,246,0,Lower Than A Level,M,Pass
760729,33,177,48,1,0,0,0,197,0,A Level or Equivalent,M,Distinction
905042,21,84,47,4,1,1,0,44,0,A Level or Equivalent,F,Pass
949618,0,45,0,0,0,0,0,73,0,A Level or Equivalent,F,Pass
958987,9,27,18,0,0,0,0,2,0,HE Qualification,M,Pass
968578,0,11,1,0,1,1,0,13,0,A Level or Equivalent,F,Pass
969076,0,99,9,4,1,1,0,123,0,A Level or Equivalent,M,Withdrawn
971027,17,64,46,6,1,1,0,81,0,HE Qualification,F,Pass
978739,49,161,58,16,4,4,15,210,0,HE Qualification,M,Pass
1035023,0,54,13,2,0,0,0,8,0,Lower Than A Level,F,Pass
1105478,3,59,38,3,6,6,0,19,0,HE Qualification,M,Pass
1352868,4,52,29,1,0,0,0,26,0,A Level or Equivalent,M,Withdrawn
1401935,0,8,6,2,0,0,0,32,0,A Level or Equivalent,M,Fail
1402638,1,34,7,0,0,0,0,11,0,HE Qualification,F,Pass
1414443,18,94,36,6,1,1,4,30,0,A Level or Equivalent,F,Fail
1456619,1,40,14,5,3,3,0,62,0,A Level or Equivalent,M,Withdrawn
1465690,16,102,24,0,1,1,0,66,0,HE Qualification,M,Pass
1488959,10,59,35,2,2,2,0,79,4,A Level or Equivalent,M,Pass
1518989,13,102,27,4,1,1,0,214,0,Lower Than A Level,F,Pass
1618738,1,38,13,3,0,0,0,50,0,Lower Than A Level,M,Pass
1620151,1,91,33,5,12,12,0,38,0,HE Qualification,M,Fail
1626710,11,90,22,3,0,0,0,230,0,A Level or Equivalent,M,Distinction
1640609,9,132,20,0,0,0,3,276,0,A Level or Equivalent,M,Pass
1686521,27,104,53,8,0,0,0,28,0,Lower Than A Level,F,Withdrawn
1729319,23,83,35,2,0,0,0,32,0,HE Qualification,F,Pass
1746134,8,39,52,7,0,0,1,26,0,A Level or Equivalent,M,Pass
1758449,20,101,27,2,1,1,0,211,1,Lower Than A Level,M,Withdrawn
1765788,0,173,33,9,0,0,0,215,0,HE Qualification,M,Pass
1801229,1,68,15,3,0,0,0,55,1,HE Qualification,M,Pass
1801641,5,11,21,5,0,0,0,1,0,A Level or Equivalent,M,Pass
1847830,8,135,38,6,1,1,0,191,0,Lower Than A Level,M,Pass
1860318,3,48,20,0,1,1,0,56,0,Lower Than A Level,M,Pass
1889511,3,56,14,2,0,0,0,75,0,A Level or Equivalent,M,Pass
1889577,14,55,33,2,1,1,0,31,0,A Level or Equivalent,F,Pass
1894188,6,72,37,9,0,0,0,3,0,A Level or Equivalent,F,Pass
1938355,16,87,21,0,0,0,0,45,0,A Level or Equivalent,M,Pass
1942396,3,27,9,0,0,0,0,23,0,Lower Than A Level,F,Pass
1970390,31,373,68,7,1,1,0,344,0,Lower Than A Level,M,Withdrawn
1976139,0,8,5,1,0,0,0,2,0,Lower Than A Level,M,Pass
2011876,12,52,36,4,1,1,1,23,0,A Level or Equivalent,F,Pass
2012966,2,55,16,4,0,0,0,31,0,Lower Than A Level,M,Pass
2051699,9,111,34,9,1,1,0,25,0,Lower Than A Level,F,Pass
2062879,17,63,30,0,0,0,0,62,0,A Level or Equivalent,F,Fail
2073016,22,64,37,10,3,3,0,43,0,Lower Than A Level,F,Withdrawn
2080474,8,33,21,0,0,0,0,20,1,A Level or Equivalent,F,Pass
2083877,12,64,28,3,0,0,0,12,0,A Level or Equivalent,F,Pass
2084066,16,94,54,6,2,2,0,85,0,Lower Than A Level,F,Fail
2104505,9,40,30,7,0,0,0,11,0,Lower Than A Level,M,Pass
2122180,5,74,10,0,6,6,0,97,0,Lower Than A Level,F,Distinction
2139353,13,23,28,3,0,0,0,5,0,A Level or Equivalent,M,Withdrawn
2143752,22,61,40,0,0,0,0,5,0,Lower Than A Level,F,Pass
2146792,2,60,15,0,0,0,0,14,0,HE Qualification,M,Pass
2149225,1,11,1,0,0,0,0,35,0,A Level or Equivalent,M,Withdrawn
2153153,2,56,43,4,2,2,0,81,2,A Level or Equivalent,F,Pass
2155014,9,47,16,0,4,4,0,77,0,Lower Than A Level,F,Pass
2164705,1,14,12,1,0,0,0,21,0,A Level or Equivalent,F,Fail
2171627,1,23,8,1,0,0,0,18,0,A Level or Equivalent,F,Pass
2182846,4,128,11,0,0,0,0,188,0,A Level or Equivalent,F,Pass
2194100,6,89,31,0,0,0,0,105,0,A Level or Equivalent,F,Pass
2197016,7,30,10,0,0,0,0,7,0,HE Qualification,F,Pass
2208424,4,62,13,0,1,1,0,32,0,A Level or Equivalent,M,Pass
2229865,21,99,56,7,1,1,0,85,0,A Level or Equivalent,F,Pass
2255601,7,74,43,6,0,0,1,81,0,A Level or Equivalent,F,Withdrawn
2268379,19,62,44,2,1,1,0,34,0,A Level or Equivalent,F,Pass
2278464,2,22,9,1,0,0,0,5,0,Lower Than A Level,M,Pass
2293923,1,12,8,1,0,0,0,0,0,A Level or Equivalent,M,Pass
2312620,3,22,9,5,1,1,0,28,1,HE Qualification,F,Withdrawn
2329342,18,52,40,4,1,1,0,8,0,Lower Than A Level,F,Pass
2339528,0,11,5,1,0,0,0,0,0,Lower Than A Level,F,Distinction
2342426,20,72,38,5,0,0,0,10,1,Lower Than A Level,M,Fail
2344901,0,8,9,0,0,0,0,1,0,A Level or Equivalent,F,Fail
2358056,5,36,30,6,0,0,0,2,0,HE Qualification,F,Fail
2358969,1,38,10,1,1,1,0,10,0,A Level or Equivalent,F,Withdrawn
2364471,14,97,56,4,2,2,0,349,0,HE Qualification,F,Pass
2367155,11,66,38,5,0,0,0,12,0,A Level or Equivalent,F,Pass
2369266,27,58,65,2,0,0,0,120,0,Lower Than A Level,F,Pass
2376496,13,44,25,21,1,1,1,11,2,A Level or Equivalent,F,Pass
2391984,4,23,9,3,0,0,0,15,0,A Level or Equivalent,M,Withdrawn
2411661,3,27,14,2,3,3,0,58,4,A Level or Equivalent,F,Fail
2411778,0,30,7,0,0,0,0,60,0,HE Qualification,M,Withdrawn
2412002,29,127,57,1,3,3,0,61,8,Lower Than A Level,M,Distinction
2412967,15,42,23,0,0,0,0,33,0,A Level or Equivalent,F,Pass
2429854,6,55,27,4,0,0,0,27,0,A Level or Equivalent,M,Withdrawn
2437837,16,56,35,0,0,0,0,39,0,A Level or Equivalent,F,Pass
2449878,0,17,8,2,0,0,0,11,0,A Level or Equivalent,F,Pass
2456480,0,11,13,0,0,0,0,0,0,Lower Than A Level,M,Fail
2457256,9,51,19,3,0,0,0,5,0,Lower Than A Level,M,Pass
2458355,8,59,21,0,0,0,0,5,0,Lower Than A Level,M,Pass
2460080,3,77,14,0,1,1,0,63,0,HE Qualification,M,Pass
2461190,19,60,37,9,1,1,0,19,0,HE Qualification,M,Fail
2469673,0,12,6,0,0,0,0,6,0,Lower Than A Level,F,Fail
2470694,1,102,17,8,0,0,0,154,0,HE Qualification,F,Withdrawn
2479954,0,8,4,0,0,0,0,1,0,A Level or Equivalent,M,Pass
2481901,0,165,11,0,0,0,0,175,0,Lower Than A Level,M,Pass
2482700,1,68,12,1,2,2,0,55,0,Lower Than A Level,M,Pass
2486127,0,56,16,3,0,0,0,38,0,HE Qualification,F,Pass
2498700,2,14,6,1,0,0,0,2,0,Lower Than A Level,F,Pass
2516503,13,54,15,0,0,0,0,15,0,HE Qualification,M,Pass
2518069,2,59,14,2,0,0,0,71,0,A Level or Equivalent,M,Pass
2521459,8,44,26,3,0,0,0,23,0,Lower Than A Level,F,Pass
2523736,0,36,8,3,1,1,0,12,0,A Level or Equivalent,M,Pass
2529279,8,53,12,0,0,0,0,55,0,HE Qualification,F,Pass
2532302,3,27,22,2,0,0,0,5,0,A Level or Equivalent,F,Pass
2536991,0,20,2,0,0,0,0,26,0,HE Qualification,M,Distinction
2542724,1,14,3,0,1,1,0,19,0,Lower Than A Level,F,Withdrawn
2550279,51,76,54,10,0,0,0,37,0,HE Qualification,F,Pass
2551220,6,25,15,0,1,1,0,8,0,Lower Than A Level,F,Pass
2552472,0,24,8,4,0,0,0,19,0,HE Qualification,F,Withdrawn
2555340,8,123,24,0,9,9,0,214,0,HE Qualification,F,Pass
2557283,4,167,15,3,0,0,0,298,0,HE Qualification,M,Pass
2559575,1,29,8,0,0,0,0,9,0,Lower Than A Level,M,Pass
2562034,1,11,12,1,0,0,0,0,0,A Level or Equivalent,M,Pass
2566163,13,42,32,1,0,0,1,18,0,A Level or Equivalent,F,Pass
2566592,5,27,10,1,0,0,0,7,0,A Level or Equivalent,F,Pass
2569324,0,4,0,0,0,0,0,0,0,A Level or Equivalent,M,Withdrawn
2574528,5,39,10,2,0,0,0,18,0,HE Qualification,M,Pass
2574583,3,44,11,0,1,1,0,2,0,Lower Than A Level,M,Pass
2576122,7,47,12,1,0,0,0,12,0,A Level or Equivalent,M,Withdrawn
2578995,8,45,19,2,0,0,0,26,0,A Level or Equivalent,F,Pass
2586560,19,112,31,0,1,1,0,127,0,Lower Than A Level,F,Pass
2594139,19,68,40,1,3,3,0,57,0,A Level or Equivalent,F,Pass
2598871,4,44,15,0,1,1,0,25,0,A Level or Equivalent,F,Pass
2599352,5,23,7,0,0,0,0,9,0,A Level or Equivalent,F,Pass
2600688,2,32,14,0,0,0,0,15,0,A Level or Equivalent,M,Pass
2606098,0,11,6,0,0,0,0,6,0,A Level or Equivalent,F,Pass
2613116,3,13,8,0,0,0,0,4,0,Lower Than A Level,F,Pass
2617002,2,19,8,3,1,1,0,2,0,A Level or Equivalent,F,Pass
2620584,0,20,6,1,0,0,0,2,0,A Level or Equivalent,M,Fail
2639449,1,29,15,0,0,0,1,31,0,A Level or Equivalent,M,Pass
2639540,8,51,23,6,2,2,0,25,0,A Level or Equivalent,F,Pass
2639641,7,62,25,0,0,0,0,27,0,Lower Than A Level,M,Pass
2641155,32,188,44,2,1,1,0,122,0,Lower Than A Level,M,Pass
2643002,4,82,7,10,2,2,0,89,0,A Level or Equivalent,F,Pass
2645733,1,52,6,1,0,0,0,17,0,A Level or Equivalent,F,Pass
2649826,8,72,14,3,0,0,0,72,0,Lower Than A Level,M,Distinction
2650282,9,25,25,7,0,0,0,1,0,A Level or Equivalent,M,Pass
2664024,5,23,11,3,0,0,0,6,0,HE Qualification,M,Pass
2666246,4,19,20,1,0,0,0,13,0,A Level or Equivalent,M,Pass
2669816,0,10,4,2,0,0,0,5,0,A Level or Equivalent,M,Fail
2671132,39,74,72,2,0,0,0,18,0,HE Qualification,M,Pass
2676809,0,15,9,1,0,0,0,11,0,HE Qualification,F,Fail
2678643,20,73,55,7,1,1,0,42,0,A Level or Equivalent,F,Pass
2685865,6,83,23,2,0,0,0,37,0,Lower Than A Level,F,Pass
2688067,0,11,9,2,0,0,0,0,0,A Level or Equivalent,M,Pass
2689958,14,80,39,5,0,0,0,118,0,A Level or Equivalent,M,Distinction
2691206,7,55,28,7,0,0,2,14,0,A Level or Equivalent,F,Distinction
2691244,0,11,2,1,0,0,0,5,0,A Level or Equivalent,M,Pass
2694424,7,96,15,1,0,0,0,197,0,A Level or Equivalent,M,Pass
2698257,0,29,15,7,0,0,0,23,0,Lower Than A Level,M,Pass
